0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,43,42,41,40,39,38,38,37,36,36,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,28,27,27,26,26,26,25,25,25,24,24,24,24,23,23
87,85,84,82,80,78,77,75,74,73,71,70,69,68,66,65,64,63,62,61,60,60,59,58,57,56,55,55,54,53,53,52,51,50,50,49,49,48,47,47,46
132,129,126,123,120,118,115,113,111,109,107,105,103,101,99,98,96,95,93,92,90,90,88,87,86,85,83,82,81,80,79,78,77,76,75,74,73,72,71,70,70
176,172,168,164,161,157,154,151,148,145,142,140,137,135,132,130,128,126,124,122,120,120,118,116,114,113,111,109,108,106,105,104,102,101,100,98,97,96,95,94,93
221,216,211,206,201,197,193,189,185,182,178,175,171,168,165,163,160,157,155,152,150,149,147,145,143,141,139,137,135,133,131,129,128,126,124,123,121,120,118,117,116
266,260,253,248,242,237,232,227,222,218,214,210,206,202,198,195,192,188,185,182,179,149,147,145,143,141,139,137,135,133,131,129,128,126,124,123,121,120,118,117,116
311,304,296,289,283,276,270,265,259,254,249,244,240,235,231,227,223,219,216,212,209,149,147,145,143,141,139,137,135,133,131,129,128,126,124,123,121,120,118,117,116
357,348,339,331,323,316,309,302,296,290,284,279,274,269,264,259,255,250,246,242,238,179,176,173,171,168,166,164,161,159,157,155,153,151,149,147,145,143,142,140,138
402,392,382,373,364,355,348,340,333,326,320,313,307,302,296,291,286,281,276,272,267,208,205,202,199,196,193,190,188,185,183,180,178,176,173,171,169,167,165,163,161
448,436,425,414,404,395,386,378,370,362,355,348,341,335,328,323,317,311,306,301,296,238,234,230,227,224,220,217,214,211,208,206,203,200,198,195,193,190,188,186,184
493,480,467,456,445,434,424,415,406,398,390,382,374,367,361,354,348,342,336,330,325,267,263,259,255,251,247,244,240,237,234,231,228,225,222,219,216,214,211,208,206
538,524,510,497,485,473,462,452,442,433,424,416,408,400,392,385,379,372,366,360,354,296,291,287,282,278,274,270,266,263,259,256,252,249,246,243,240,237,234,231,228
583,567,552,538,525,512,500,489,479,468,459,450,441,432,424,416,409,402,395,388,382,324,319,314,310,305,301,296,292,288,284,280,277,273,269,266,263,259,256,253,250
628,611,594,579,565,551,538,526,514,503,493,483,474,464,456,447,439,432,424,417,410,353,348,342,337,332,327,322,318,313,309,305,301,297,293,289,286,282,279,275,272
673,654,636,620,604,589,576,562,550,538,527,516,506,496,487,478,470,461,453,446,438,382,375,370,364,359,353,348,343,339,334,329,325,321,317,313,309,305,301,297,294
717,697,678,660,643,628,613,599,585,573,561,549,538,528,518,509,499,491,482,474,466,410,403,397,391,385,379,374,369,363,358,354,349,344,340,336,331,327,323,319,316
761,739,719,700,682,665,650,635,620,607,594,582,571,559,549,539,529,520,511,502,494,438,431,424,418,411,405,399,394,388,383,378,373,368,363,358,354,350,345,341,337
804,781,760,739,721,703,686,670,655,641,627,615,602,591,579,569,558,549,539,530,521,465,458,451,444,437,431,425,419,413,407,402,396,391,386,381,376,372,367,363,358
847,823,800,779,759,740,722,705,690,675,660,647,634,621,610,598,587,577,567,557,548,493,485,478,470,463,456,450,443,437,431,425,420,414,409,404,398,394,389,384,380
889,864,840,817,796,777,758,740,724,708,693,679,665,652,640,628,616,605,595,585,575,520,512,504,496,489,482,475,468,461,455,449,443,437,431,426,421,415,410,405,401
931,904,879,855,833,813,793,775,757,741,725,710,696,682,669,657,645,633,623,612,602,547,539,530,522,514,507,499,492,485,479,472,466,460,454,448,442,437,432,426,421
